Camera Number,Date,Time,Species
KCH01,4/12/2019,11:05 AM,capercaillie
KCH01,4/14/2019,12:48 PM,capercaillie
KCH01,4/17/2019,12:20 AM,hare 
KCH01,4/17/2019,10:32 AM,fox
KCH01,5/6/2019,8:50 AM,roe deer
KCH01,5/10/2019,1:50 AM,badger
KCH01,5/10/2019,2:37 AM,roe deer
KCH01,5/13/2019,3:09 PM,roe deer
KCH01,5/25/2019,6:50 AM,roe deer
KCH01,6/10/2019,7:41 PM,fox
KCH01,6/16/2019,8:53 AM,fox
KCH01,6/20/2019,5:20 PM,fox
KCH01,6/21/2019,11:54 PM,badger
KCH01,7/11/2020,5:19 AM,roe deer
KCH01,7/15/2020,5:35 AM,roe deer
KCH01,7/16/2020,5:13 PM,wild boar
KCH01,7/18/2020,1:36 AM,fox
KCH01,7/21/2020,11:31 AM,wild boar
KCH01,8/14/2020,4:37 AM,fox
KCH01,9/1/2020,2:52 PM,roe deer
KCH01,9/14/2020,8:48 AM,wolf
KCH01,10/11/2020,7:16 AM,roe deer
KCH01,11/2/2020,10:33 PM,lynx
KCH01,12/1/2020,6:26 PM,fox
KCH01,12/5/2020,9:07 AM,roe deer
KCH01,2/2/2021,2:12 AM,sable
KCH01,3/3/2021,9:52 PM,sable
KCH01,4/20/2021,1:51 PM,fox
KCH01,4/29/2021,9:27 AM,wild boar
KCH01,5/2/2021,2:39 PM,fox
KCH01,9/21/2020,7:43 AM,red deer
KCH01,3/9/2022,11:31 PM,sable
KCH01,3/27/2022,11:31 PM,sable
KCH01,5/7/2022,5:27 AM,roe deer
KCH01,5/8/2022,7:48 PM,roe deer
KCH01,5/14/2022,7:30 AM,fox
KCH01,5/18/2022,5:57 AM,roe deer
KCH01,5/20/2022,6:06 AM,roe deer
KCH01,11/20/2021,10:13 PM,red deer
KCH01,11/13/2021,4:43 PM,red deer
KCH01,9/12/2020,7:26 AM,roe deer
KCH01,9/17/2020,5:24 AM,roe deer
KCH01,6/15/2019,2:23 PM,bear
KCH01,12/2/2021,5:13 PM,red deer
KCH01,9/20/2020,6:46 PM,roe deer
KCH01,9/27/2020,6:10 PM,roe deer
KCH01,12/19/2021,6:13 PM,red deer
KCH01,4/28/2021,5:30 PM,bear
KCH01,7/21/2020,6:17 PM,bear
KCH01,4/28/2022,8:36 PM,red deer
KCH01,9/22/2020,8:04 PM,bear
KCH01,7/30/2020,8:12 PM,bear
KCH01,12/18/2020,3:27 AM,moose
KCH01,11/22/2021,4:24 AM,moose
KCH01,4/28/2022,2:53 AM,red deer
KCH01,4/30/2022,11:23 AM,moose
KCH01,11/15/2021,3:00 AM,red deer
KCH01,12/17/2020,5:12 PM,moose
KCH01,8/28/2020,8:03 PM,roe deer
KCH01,8/29/2020,7:11 PM,roe deer
KCH01,9/21/2020,7:56 AM,red deer
KCH01,11/20/2021,8:41 AM,red deer
KCH02,10/29/2019,12:09 AM,bear
KCH02,9/27/2021,6:27 PM,red deer
KCH02,9/27/2020,1:18 PM,red deer
KCH02,9/22/2019,7:38 PM,red deer
KCH02,12/1/2019,8:30 PM,fox
KCH02,9/15/2019,12:46 AM,red deer
KCH02,4/10/2020,11:36 PM,sable
KCH02,"May 28,2020",5:20 AM,wild boar
KCH02,"June 10,2020",4:36 PM,wild boar
KCH02,8/3/2020,9:07 AM,wild boar
KCH02,5/1/2020,5:25 AM,bear
KCH02,10/2/2020,5:49 PM,roe deer
KCH02,10/3/2020,1:27 PM,red deer
KCH02,8/20/2019,5:27 AM,bear
KCH02,10/2/2021,11:40 PM,red deer
KCH02,12/8/2020,11:48 AM,wolverine
