Camera ID,Location Name,Lat,Long,Elevation (m),Dist. Road  (km),Dist. Village (km)
KCH01,Kuchiha-Popov,E83° 51.965',N50° 26.234',1164,6.7,4.4
KCH02,Spruce Ridge,E83° 55.414',N50° 27.479',1079,9.1,10
KCH03,Bear Hollow,E83° 54.449',N50° 28.256',667,9.2,11
KCH04,Sosnovka Pass,E83° 52.064',N50° 28.560',666,8,10.9
KCH05,Sosnovka Mount,E83° 51.597',N50° 29.162',1478,7,9.9
KCH06,Vannochki,E83° 51.324',N50° 29.204',1478,8.8,12.4
KCH07,Glade Angry Bear,E83° 53.190',N50° 27.172',984,6.7,8.7
KCH08,Privada,E83° 53.024',N50° 27.102',970,6.7,8.7
KCH09,Solt_lake_larch,E83° 54.012',N50° 26.187',1080,6.5,1
KCH10,Solt Lake Spruce,E83° 54.215',N50° 27.364',891,7.9,9.3
